customer_id,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_score,customer_segment
17830,1,3,398.70,4,2,2,422,Recent Customers
13026,1,13,1697.74,4,4,3,443,Champions
13077,1,14,2716.15,4,4,4,444,Champions
16442,1,5,891.98,4,3,3,433,Champions
18210,1,7,2768.83,4,3,4,434,Champions
13394,1,24,6329.38,4,4,4,444,Champions
16892,1,9,726.05,4,4,2,442,Loyal Customers
15950,1,13,6878.71,4,4,4,444,Champions
17673,1,15,4156.63,4,4,4,444,Champions
15399,1,3,815.77,4,2,2,422,Recent Customers
14442,1,12,5272.02,4,4,4,444,Champions
17757,1,60,8990.49,4,4,4,444,Champions
15453,1,7,1371.77,4,3,3,433,Champions
14911,1,510,258522.43,4,4,4,444,Champions
15898,1,29,4930.75,4,4,4,444,Champions
17144,1,2,984.57,4,2,3,423,Recent Customers
13013,1,31,11073.48,4,4,4,444,Champions
15189,1,58,17101.13,4,4,4,444,Champions
16161,1,57,12279.97,4,4,4,444,Champions
14719,1,6,1571.89,4,3,3,433,Champions
15214,1,8,1661.44,4,3,3,433,Champions
14698,1,5,1217.27,4,3,3,433,Champions
14129,1,9,2591.34,4,4,4,444,Champions
16833,1,6,2409.04,4,3,4,434,Champions
17644,1,28,5864.54,4,4,4,444,Champions
14653,1,12,3404.80,4,4,4,444,Champions
15237,1,4,1412.32,4,3,3,433,Champions
14520,1,2,270.60,4,2,1,421,Recent Customers
16358,1,6,2917.10,4,3,4,434,Champions
14251,1,5,2879.70,4,3,4,434,Champions
17949,1,138,98469.06,4,4,4,444,Champions
13408,1,135,49751.36,4,4,4,444,Champions
14702,1,32,6298.48,4,4,4,444,Champions
13599,1,52,9435.47,4,4,4,444,Champions
18223,1,52,13504.67,4,4,4,444,Champions
17528,1,11,3540.10,4,4,4,444,Champions
12358,1,5,3447.07,4,3,4,434,Champions
14415,1,32,11803.62,4,4,4,444,Champions
17668,1,2,347.75,4,2,2,422,Recent Customers
14056,1,29,8063.30,4,4,4,444,Champions
13436,1,1,196.89,4,1,1,411,Recent Customers
13860,1,6,1240.00,4,3,3,433,Champions
13404,1,2,252.49,4,2,1,421,Recent Customers
15208,1,7,968.02,4,3,3,433,Champions
13269,1,30,8507.01,4,4,4,444,Champions
16688,1,4,1260.86,4,3,3,433,Champions
13954,1,3,378.59,4,2,2,422,Recent Customers
14217,1,33,3105.52,4,4,4,444,Champions
14621,1,16,2878.27,4,4,4,444,Champions
14606,1,259,28913.22,4,4,4,444,Champions
12437,1,47,11011.85,4,4,4,444,Champions
15755,1,20,5936.95,4,4,4,444,Champions
17554,1,5,1952.45,4,3,3,433,Champions
13078,1,95,28369.44,4,4,4,444,Champions
17841,1,289,67287.06,4,4,4,444,Champions
13314,1,4,593.51,4,3,2,432,Loyal Customers
17405,1,5,967.22,4,3,3,433,Champions
14569,1,4,597.33,4,3,2,432,Loyal Customers
13471,1,4,2501.84,4,3,4,434,Champions
14646,1,164,523202.74,4,4,4,444,Champions
13883,1,26,6321.59,4,4,4,444,Champions
18109,1,45,9416.41,4,4,4,444,Champions
17436,1,7,521.31,4,3,2,432,Loyal Customers
12621,1,44,21900.70,4,4,4,444,Champions
13081,1,44,55968.97,4,4,4,444,Champions
13318,1,3,640.76,4,2,2,422,Recent Customers
17526,1,16,3450.04,4,4,4,444,Champions
15443,1,16,5054.44,4,4,4,444,Champions
13924,1,11,1682.08,4,4,3,443,Champions
17530,1,13,2786.15,4,4,4,444,Champions
14135,1,25,8800.80,4,4,4,444,Champions
16933,1,16,3017.65,4,4,4,444,Champions
16891,1,11,1727.94,4,4,3,443,Champions
17631,1,7,998.49,4,3,3,433,Champions
13521,1,3,1070.47,4,2,3,423,Recent Customers
17924,1,14,3189.53,4,4,4,444,Champions
13102,1,42,11123.30,4,4,4,444,Champions
13510,1,17,4488.39,4,4,4,444,Champions
16019,1,35,16503.46,4,4,4,444,Champions
13298,1,1,360.00,4,1,2,412,Recent Customers
17451,1,10,1648.95,4,4,3,443,Champions
14138,1,2,965.88,4,2,3,423,Recent Customers
13536,1,7,3444.39,4,3,4,434,Champions
17856,1,6,1393.79,4,3,3,433,Champions
17522,1,5,1066.15,4,3,3,433,Champions
13098,1,41,28658.88,4,4,4,444,Champions
17491,1,18,5636.72,4,4,4,444,Champions
14191,1,17,4713.41,4,4,4,444,Champions
15187,1,18,4655.08,4,4,4,444,Champions
16322,1,2,326.75,4,2,2,422,Recent Customers
14730,1,8,1897.57,4,3,3,433,Champions
17677,1,91,34233.35,4,4,4,444,Champions
17675,1,90,37067.02,4,4,4,444,Champions
13798,1,125,73177.50,4,4,4,444,Champions
13680,1,13,9899.56,4,4,4,444,Champions
16210,1,37,33545.52,4,4,4,444,Champions
15159,1,38,22049.40,4,4,4,444,Champions
16523,1,39,11760.54,4,4,4,444,Champions
13468,1,87,12518.01,4,4,4,444,Champions
15796,1,22,5066.33,4,4,4,444,Champions
14796,1,39,9971.20,4,4,4,444,Champions
16401,1,39,6629.24,4,4,4,444,Champions
13263,1,39,8650.98,4,4,4,444,Champions
15484,1,7,4620.90,4,3,4,434,Champions
12476,1,38,11920.12,4,4,4,444,Champions
12955,1,14,4734.26,4,4,4,444,Champions
16794,1,17,2029.48,4,4,3,443,Champions
12558,1,2,0.00,4,2,1,421,Recent Customers
14291,1,25,7844.40,4,4,4,444,Champions
15156,1,3,961.49,4,2,3,423,Recent Customers
17511,2,85,168504.44,4,4,4,444,Champions
14739,2,28,11555.69,4,4,4,444,Champions
15750,2,24,6362.60,4,4,4,444,Champions
14189,2,25,5453.38,4,4,4,444,Champions
13756,2,25,8595.65,4,4,4,444,Champions
14032,2,25,4482.21,4,4,4,444,Champions
17049,2,25,9588.83,4,4,4,444,Champions
13767,2,96,33480.82,4,4,4,444,Champions
16539,2,10,3289.66,4,4,4,444,Champions
16426,2,10,1863.76,4,4,3,443,Champions
17449,2,14,4849.15,4,4,4,444,Champions
17870,2,14,2748.34,4,4,4,444,Champions
18237,2,5,987.10,4,3,3,433,Champions
16971,2,2,357.21,4,2,2,422,Recent Customers
12785,2,5,883.31,4,3,3,433,Champions
14132,2,12,3580.13,4,4,4,444,Champions
16779,2,62,32522.40,4,4,4,444,Champions
14794,2,13,1889.15,4,4,3,443,Champions
13534,2,60,7324.50,4,4,4,444,Champions
14141,2,6,879.03,4,3,3,433,Champions
12462,2,4,872.01,4,3,3,433,Champions
14708,2,6,1763.52,4,3,3,433,Champions
16525,2,54,22919.40,4,4,4,444,Champions
13089,2,247,109893.24,4,4,4,444,Champions
17097,2,10,1126.86,4,4,3,443,Champions
13109,2,7,1107.58,4,3,3,433,Champions
12826,2,15,2784.20,4,4,4,444,Champions
13267,2,50,9212.06,4,4,4,444,Champions
14087,2,5,786.72,4,3,2,432,Loyal Customers
13668,2,47,12607.68,4,4,4,444,Champions
15883,2,2,396.48,4,2,2,422,Recent Customers
15525,2,5,872.82,4,3,3,433,Champions
15568,2,3,758.29,4,2,2,422,Recent Customers
12783,2,8,1295.87,4,3,3,433,Champions
12615,2,11,5186.88,4,4,4,444,Champions
14904,2,4,1630.49,4,3,3,433,Champions
12720,2,41,6710.49,4,4,4,444,Champions
17017,2,41,12397.49,4,4,4,444,Champions
16191,2,40,15155.17,4,4,4,444,Champions
16678,2,17,3025.24,4,4,4,444,Champions
17266,2,5,501.72,4,3,2,432,Loyal Customers
16368,2,3,621.44,4,2,2,422,Recent Customers
17590,2,3,1466.77,4,2,3,423,Recent Customers
14534,2,38,5698.37,4,4,4,444,Champions
16817,2,18,2392.85,4,4,4,444,Champions
12471,2,129,33294.92,4,4,4,444,Champions
13014,2,18,5220.83,4,4,4,444,Champions
13870,2,18,5689.84,4,4,4,444,Champions
17602,2,18,7240.73,4,4,4,444,Champions
17412,2,19,4187.68,4,4,4,444,Champions
15136,2,5,1282.45,4,3,3,433,Champions
12569,2,35,3128.99,4,4,4,444,Champions
12935,2,19,4182.01,4,4,4,444,Champions
17503,2,2,558.96,4,1,2,412,Recent Customers
18219,2,19,3297.20,4,4,4,444,Champions
12347,2,8,4921.53,4,4,4,444,Champions
15471,2,3,1292.01,4,2,3,423,Recent Customers
14085,2,34,9692.92,4,4,4,444,Champions
16271,2,11,3361.87,4,4,4,444,Champions
17434,2,9,2333.42,4,4,4,444,Champions
18092,2,20,14687.47,4,4,4,444,Champions
13685,2,7,3119.44,4,3,4,434,Champions
14910,2,7,389.86,4,3,2,432,Loyal Customers
12950,2,3,1843.00,4,2,3,423,Recent Customers
15984,2,32,8304.82,4,4,4,444,Champions
17835,2,3,342.24,4,2,2,422,Recent Customers
12747,2,32,8786.53,4,4,4,444,Champions
15195,2,1,3861.00,4,1,4,414,Recent Customers
17042,2,5,1036.58,4,3,3,433,Champions
17238,2,32,7331.17,4,4,4,444,Champions
12828,2,6,1018.71,4,3,3,433,Champions
18273,2,4,357.00,4,2,2,422,Recent Customers
12583,2,31,12409.04,4,4,4,444,Champions
14204,2,4,1024.83,4,3,3,433,Champions
14769,2,21,15437.25,4,4,4,444,Champions
12839,2,31,9529.72,4,4,4,444,Champions
14527,2,190,26359.18,4,4,4,444,Champions
18272,2,11,4347.33,4,4,4,444,Champions
13882,2,6,1131.28,4,3,3,433,Champions
13949,2,6,2427.32,4,3,4,434,Champions
13743,2,8,1340.15,4,4,3,443,Champions
15701,2,4,1529.00,4,3,3,433,Champions
15969,2,6,1043.85,4,3,3,433,Champions
12375,2,3,375.42,4,2,2,422,Recent Customers
16393,2,30,5192.61,4,4,4,444,Champions
16458,2,30,5690.89,4,4,4,444,Champions
17091,2,23,7462.15,4,4,4,444,Champions
17232,2,2,417.77,4,2,2,422,Recent Customers
15298,2,29,7958.43,4,4,4,444,Champions
13769,2,29,5444.33,4,4,4,444,Champions
16672,2,23,8119.69,4,4,4,444,Champions
17735,2,29,16707.98,4,4,4,444,Champions
16000,2,3,12393.70,4,2,4,424,Recent Customers
12912,2,5,1662.30,4,3,3,433,Champions
14395,2,24,7754.73,4,4,4,444,Champions
12749,3,16,6278.49,4,4,4,444,Champions
12967,3,5,2472.37,4,3,4,434,Champions
15814,3,8,2531.84,4,4,4,444,Champions
18225,3,34,12643.25,4,4,4,444,Champions
14869,3,9,2750.70,4,4,4,444,Champions
17346,3,27,4926.43,4,4,4,444,Champions
16949,3,7,1161.27,4,3,3,433,Champions
12877,3,20,2942.14,4,4,4,444,Champions
14216,3,6,2142.39,4,3,4,434,Champions
17861,3,22,5025.19,4,4,4,444,Champions
16711,3,10,2751.48,4,4,4,444,Champions
13362,3,10,5357.57,4,4,4,444,Champions
14868,3,13,4170.06,4,4,4,444,Champions
12921,3,103,33951.65,4,4,4,444,Champions
12820,3,13,2647.94,4,4,4,444,Champions
16987,3,12,2487.55,4,4,4,444,Champions
17884,3,23,2649.47,4,4,4,444,Champions
14562,3,30,6314.30,4,4,4,444,Champions
12417,3,27,5889.71,4,4,4,444,Champions
14907,3,23,5476.62,4,4,4,444,Champions
14293,3,10,2809.41,4,4,4,444,Champions
15023,3,23,11477.01,4,4,4,444,Champions
15318,3,1,312.62,4,1,1,411,Recent Customers
16929,3,7,1295.39,4,3,3,433,Champions
16979,3,12,2787.09,4,4,4,444,Champions
13755,3,10,2101.39,4,4,3,443,Champions
14673,3,7,3037.32,4,3,4,434,Champions
17883,3,8,972.52,4,3,3,433,Champions
14543,3,50,11958.76,4,4,4,444,Champions
14282,3,26,7245.76,4,4,4,444,Champions
15157,3,7,2597.88,4,3,4,434,Champions
13881,3,51,44392.50,4,4,4,444,Champions
17250,3,2,381.97,4,2,2,422,Recent Customers
16313,3,2,274.15,4,2,1,421,Recent Customers
12682,3,53,20648.12,4,4,4,444,Champions
12716,3,2,963.49,4,2,3,423,Recent Customers
16495,3,3,648.26,4,2,2,422,Recent Customers
16076,3,11,2173.53,4,4,4,444,Champions
16201,3,6,2070.17,4,3,3,433,Champions
18154,3,5,932.60,4,3,3,433,Champions
17857,3,26,25653.84,4,4,4,444,Champions
17593,3,15,8040.52,4,4,4,444,Champions
14572,3,15,5479.08,4,4,4,444,Champions
14113,3,31,6156.75,4,4,4,444,Champions
15061,3,138,124982.13,4,4,4,444,Champions
14825,3,27,4696.28,4,4,4,444,Champions
12709,3,55,28708.10,4,4,4,444,Champions
17914,3,1,329.36,4,1,2,412,Recent Customers
17730,3,23,7757.35,4,4,4,444,Champions
17119,3,3,593.61,4,2,2,422,Recent Customers
12478,3,1,545.99,4,1,2,412,Recent Customers
14735,3,59,11899.66,4,4,4,444,Champions
14578,3,1,168.63,4,1,1,411,Recent Customers
17290,3,8,1427.48,4,3,3,433,Champions
13199,3,69,15921.30,4,4,4,444,Champions
14121,3,6,2740.30,4,3,4,434,Champions
15907,3,3,881.87,4,2,3,423,Recent Customers
13104,3,9,1709.10,4,4,3,443,Champions
16569,3,5,1455.23,4,3,3,433,Champions
13709,3,22,7492.41,4,4,4,444,Champions
14737,3,4,3554.17,4,3,4,434,Champions
16571,3,17,4025.05,4,4,4,444,Champions
16133,3,78,22228.88,4,4,4,444,Champions
18005,3,2,226.47,4,2,1,421,Recent Customers
13225,3,17,15879.27,4,4,4,444,Champions
12753,3,11,21024.01,4,4,4,444,Champions
12584,3,18,1809.95,4,4,3,443,Champions
17666,3,5,2047.80,4,3,3,433,Champions
16554,3,18,2407.17,4,4,4,444,Champions
13694,3,164,190391.50,4,4,4,444,Champions
15194,3,39,11781.52,4,4,4,444,Champions
16528,3,1,244.41,4,1,1,411,Recent Customers
16764,3,18,2749.95,4,4,4,444,Champions
17705,3,12,2041.50,4,4,3,443,Champions
15822,3,8,1797.71,4,3,3,433,Champions
14071,3,9,1291.34,4,4,3,443,Champions
14418,3,3,1937.25,4,2,3,423,Recent Customers
18167,3,6,1361.51,4,3,3,433,Champions
12650,3,1,242.44,4,1,1,411,Recent Customers
12989,3,39,12846.80,4,4,4,444,Champions
12723,3,5,707.07,4,3,2,432,Loyal Customers
14655,3,12,3836.73,4,4,4,444,Champions
17659,3,17,3536.33,4,4,4,444,Champions
14503,3,6,3543.26,4,3,4,434,Champions
14140,3,3,920.05,4,2,3,423,Recent Customers
15992,3,3,896.60,4,2,3,423,Recent Customers
13994,3,6,2274.14,4,3,4,434,Champions
12971,3,120,15218.05,4,4,4,444,Champions
13507,3,4,2479.16,4,3,4,434,Champions
15622,3,30,7318.08,4,4,4,444,Champions
13914,3,3,613.95,4,2,2,422,Recent Customers
14298,3,84,90489.31,4,4,4,444,Champions
12766,3,11,8093.14,4,4,4,444,Champions
12479,3,3,423.30,4,2,2,422,Recent Customers
17728,3,8,4206.16,4,3,4,434,Champions
16353,3,41,9781.93,4,4,4,444,Champions
13255,3,4,669.91,4,3,2,432,Loyal Customers
18283,3,22,2658.95,4,4,4,444,Champions
12442,3,1,144.06,4,1,1,411,Recent Customers
16790,3,8,1520.12,4,3,3,433,Champions
14871,3,9,1228.17,4,4,3,443,Champions
16143,3,16,4511.13,4,4,4,444,Champions
17744,3,8,2649.14,4,4,4,444,Champions
13323,3,5,787.85,4,3,2,432,Loyal Customers
16620,3,6,1758.93,4,3,3,433,Champions
14110,3,35,12959.60,4,4,4,444,Champions
17611,3,35,8149.93,4,4,4,444,Champions
14547,3,9,3953.95,4,4,4,444,Champions
12362,3,14,4665.58,4,4,4,444,Champions
16015,3,4,689.41,4,3,2,432,Loyal Customers
16013,3,94,51615.64,4,4,4,444,Champions
16016,3,14,2053.00,4,4,3,443,Champions
17481,3,5,1249.34,4,3,3,433,Champions
16642,4,5,1051.46,4,3,3,433,Champions
18180,4,6,1843.75,4,3,3,433,Champions
16684,4,65,141530.29,4,4,4,444,Champions
17811,4,60,9351.83,4,4,4,444,Champions
15856,4,58,31871.79,4,4,4,444,Champions
17920,4,56,23563.33,4,4,4,444,Champions
15358,4,55,16213.65,4,4,4,444,Champions
14194,4,54,18442.87,4,4,4,444,Champions
16597,4,1,90.04,4,1,1,411,Recent Customers
18030,4,3,220.70,4,2,1,421,Recent Customers
16746,4,46,18010.50,4,4,4,444,Champions
13311,4,2,598.57,4,2,2,422,Recent Customers
17706,4,43,19066.07,4,4,4,444,Champions
16379,4,5,2131.90,4,3,3,433,Champions
12841,4,42,6808.00,4,4,4,444,Champions
14696,4,10,2465.30,4,4,4,444,Champions
12994,4,5,902.22,4,3,3,433,Champions
13001,4,37,24006.60,4,4,4,444,Champions
14759,4,3,1625.97,4,2,3,423,Recent Customers
17254,4,3,469.48,4,2,2,422,Recent Customers
14096,4,34,53258.43,4,4,4,444,Champions
15640,4,34,23340.29,4,4,4,444,Champions
16592,4,34,7624.46,4,4,4,444,Champions
18015,4,1,120.03,4,1,1,411,Recent Customers
14060,4,32,8882.30,4,4,4,444,Champions
16500,4,10,835.96,4,4,3,443,Champions
14629,4,3,935.46,4,2,3,423,Recent Customers
13230,4,31,6065.95,4,4,4,444,Champions
16682,4,5,1028.00,4,3,3,433,Champions
15290,4,30,10355.58,4,4,4,444,Champions
12646,4,2,1346.97,4,2,3,423,Recent Customers
17404,4,28,45863.82,4,4,4,444,Champions
16149,4,3,422.22,4,2,2,422,Recent Customers
17817,4,7,781.45,4,3,2,432,Loyal Customers
12683,4,27,10167.52,4,4,4,444,Champions
12367,4,1,150.90,4,1,1,411,Recent Customers
17402,4,26,4566.41,4,4,4,444,Champions
14401,4,25,6703.40,4,4,4,444,Champions
13083,4,3,395.43,4,2,2,422,Recent Customers
13985,4,24,9982.31,4,4,4,444,Champions
17383,4,2,304.09,4,2,1,421,Recent Customers
15572,4,10,3965.20,4,4,4,444,Champions
13021,4,24,4806.66,4,4,4,444,Champions
15145,4,4,1194.73,4,3,3,433,Champions
15274,4,2,716.57,4,2,2,422,Recent Customers
15690,4,2,239.76,4,2,1,421,Recent Customers
15628,4,21,5284.18,4,4,4,444,Champions
15854,4,21,5578.28,4,4,4,444,Champions
16904,4,21,4656.56,4,4,4,444,Champions
12957,4,21,8628.42,4,4,4,444,Champions
15097,4,5,587.05,4,3,2,432,Loyal Customers
14083,4,11,1082.19,4,4,3,443,Champions
18198,4,21,5083.06,4,4,4,444,Champions
15621,4,6,1158.77,4,3,3,433,Champions
16851,4,3,342.45,4,2,2,422,Recent Customers
14546,4,20,4987.97,4,4,4,444,Champions
15033,4,11,2538.23,4,4,4,444,Champions
13417,4,7,1593.89,4,3,3,433,Champions
18044,4,19,3502.66,4,4,4,444,Champions
14793,4,3,611.05,4,2,2,422,Recent Customers
17006,4,8,1635.27,4,3,3,433,Champions
13126,4,19,3679.03,4,4,4,444,Champions
16811,4,2,547.07,4,2,2,422,Recent Customers
17218,4,18,3889.39,4,4,4,444,Champions
16360,4,8,3349.57,4,3,4,434,Champions
16057,4,17,3202.07,4,4,4,444,Champions
15932,4,11,2461.85,4,4,4,444,Champions
16873,4,17,14547.03,4,4,4,444,Champions
17426,4,17,7606.37,4,4,4,444,Champions
16968,4,2,439.43,4,2,2,422,Recent Customers
15031,4,16,2813.73,4,4,4,444,Champions
14219,4,3,633.83,4,2,2,422,Recent Customers
14649,4,11,3630.04,4,4,4,444,Champions
16600,4,16,2093.56,4,4,3,443,Champions
14777,4,4,239.26,4,3,1,431,Low Engagement
12381,4,6,1433.46,4,3,3,433,Champions
13305,4,16,3616.41,4,4,4,444,Champions
14608,4,12,3263.44,4,4,4,444,Champions
16513,4,4,874.59,4,3,3,433,Champions
17090,4,15,2986.64,4,4,4,444,Champions
12628,4,4,715.61,4,3,2,432,Loyal Customers
13079,4,6,419.18,4,3,2,432,Loyal Customers
15392,4,8,2891.82,4,3,4,434,Champions
13790,4,1,348.80,4,1,2,412,Recent Customers
17579,4,5,744.58,4,3,2,432,Loyal Customers
16910,4,8,1508.96,4,4,3,443,Champions
15550,4,14,1987.85,4,4,3,443,Champions
12782,4,14,3770.04,4,4,4,444,Champions
14075,4,6,1724.87,4,3,3,433,Champions
12925,4,3,729.33,4,2,2,422,Recent Customers
13173,4,13,2370.97,4,4,4,444,Champions
17676,4,13,2409.73,4,4,4,444,Champions
14931,4,6,864.68,4,3,3,433,Champions
16200,4,13,5594.60,4,4,4,444,Champions
12913,4,13,6283.24,4,4,4,444,Champions
14198,4,13,1527.58,4,4,3,443,Champions
15053,4,3,693.95,4,2,2,422,Recent Customers
14720,5,3,663.81,4,2,2,422,Recent Customers
14658,5,2,247.15,4,2,1,421,Recent Customers
17954,5,26,3697.19,4,4,4,444,Champions
17618,5,13,3976.34,4,4,4,444,Champions
16438,5,5,798.35,4,3,2,432,Loyal Customers
16931,5,23,5032.22,4,4,4,444,Champions
14354,5,2,163.62,4,2,1,421,Recent Customers
17858,5,32,12458.65,4,4,4,444,Champions
16283,5,12,4256.17,4,4,4,444,Champions
14102,5,8,1060.33,4,3,3,433,Champions
17827,5,7,2369.42,4,3,4,434,Champions
12952,5,5,1382.84,4,3,3,433,Champions
12827,5,3,430.15,4,2,2,422,Recent Customers
17114,5,10,739.72,4,4,2,442,Loyal Customers
13838,5,10,1690.07,4,4,3,443,Champions
13736,5,12,2701.27,4,4,4,444,Champions
12724,5,7,2083.52,4,3,3,433,Champions
13319,5,78,20974.96,4,4,4,444,Champions
17629,5,11,2425.52,4,4,4,444,Champions
13596,5,2,664.11,4,2,2,422,Recent Customers
13435,5,11,4431.93,4,4,4,444,Champions
14456,5,14,3000.80,4,4,4,444,Champions
16535,5,3,952.04,4,2,3,423,Recent Customers
13704,5,10,2295.31,4,4,4,444,Champions
17936,5,1,380.13,4,1,2,412,Recent Customers
15773,5,2,774.52,4,2,2,422,Recent Customers
16988,5,2,382.67,4,2,2,422,Recent Customers
17131,5,5,2463.17,4,3,4,434,Champions
18065,5,32,5816.88,4,4,4,444,Champions
13822,5,2,632.00,4,2,2,422,Recent Customers
13153,5,1,486.22,4,1,2,412,Recent Customers
14583,5,8,1660.29,4,3,3,433,Champions
16326,5,26,4601.25,4,4,4,444,Champions
16905,5,20,4674.62,4,4,4,444,Champions
13808,5,5,1747.66,4,3,3,433,Champions
13630,5,11,1995.68,4,4,3,443,Champions
16033,5,36,10465.07,4,4,4,444,Champions
12490,5,22,8759.64,4,4,4,444,Champions
12673,5,3,1140.02,4,2,3,423,Recent Customers
15867,5,35,8780.77,4,4,4,444,Champions
17173,5,9,3755.65,4,4,4,444,Champions
13558,5,4,594.52,4,3,2,432,Loyal Customers
12719,5,3,536.10,4,2,2,422,Recent Customers
17750,5,9,1694.16,4,4,3,443,Champions
16561,5,2,511.12,4,2,2,422,Recent Customers
13956,5,5,1019.27,4,3,3,433,Champions
12560,5,4,1885.39,4,3,3,433,Champions
14895,7,48,24488.82,4,4,4,444,Champions
14560,7,46,6050.44,4,4,4,444,Champions
17221,7,5,976.62,4,3,3,433,Champions
13705,7,7,1717.19,4,3,3,433,Champions
17183,7,8,3286.91,4,3,4,434,Champions
16440,7,6,3856.97,4,3,4,434,Champions
15547,7,28,9989.15,4,4,4,444,Champions
16759,7,4,772.84,4,3,2,432,Loyal Customers
12695,7,7,1371.12,4,3,3,433,Champions
17686,7,9,8296.81,4,4,4,444,Champions
16474,7,11,1750.46,4,4,3,443,Champions
12587,7,1,104.00,4,1,1,411,Recent Customers
12704,7,10,1740.84,4,4,3,443,Champions
12684,7,7,2073.63,4,3,3,433,Champions
13969,7,39,12820.36,4,4,4,444,Champions
14250,7,3,1904.05,4,2,3,423,Recent Customers
16899,7,8,1695.77,4,3,3,433,Champions
14788,7,3,1156.32,4,2,3,423,Recent Customers
12856,7,8,2153.53,4,3,4,434,Champions
14126,7,5,1109.96,4,3,3,433,Champions
14023,7,2,584.07,4,2,2,422,Recent Customers
17567,7,11,4519.16,4,4,4,444,Champions
16989,7,6,1133.25,4,3,3,433,Champions
13183,7,18,7010.88,4,4,4,444,Champions
18282,7,3,176.60,4,2,1,421,Recent Customers
14594,7,2,363.33,4,1,2,412,Recent Customers
17495,7,4,759.07,4,3,2,432,Loyal Customers
14865,7,4,92.52,4,3,1,431,Low Engagement
12364,7,4,1208.10,4,3,3,433,Champions
14688,7,34,6666.93,4,4,4,444,Champions
18144,7,19,4892.95,4,4,4,444,Champions
18174,7,2,162.50,4,2,1,421,Recent Customers
14092,7,27,7215.64,4,4,4,444,Champions
12762,7,2,1702.52,4,2,3,423,Recent Customers
17157,7,20,5139.45,4,4,4,444,Champions
13017,7,1,204.00,4,1,1,411,Recent Customers
16359,7,20,2379.40,4,4,4,444,Champions
15570,7,27,8672.44,4,4,4,444,Champions
12668,7,12,9842.06,4,4,4,444,Champions
13297,7,8,4352.67,4,4,4,444,Champions
17584,7,7,5294.42,4,3,4,434,Champions
12465,7,3,673.89,4,2,2,422,Recent Customers
12359,7,14,8652.34,4,4,4,444,Champions
16038,7,4,454.33,4,3,2,432,Loyal Customers
13884,7,14,1788.93,4,4,3,443,Champions
12962,7,2,266.39,4,2,1,421,Recent Customers
14292,7,27,8887.90,4,4,4,444,Champions
18097,7,14,4616.77,4,4,4,444,Champions
13309,7,6,1706.37,4,3,3,433,Champions
13560,7,1,171.42,4,1,1,411,Recent Customers
14897,7,9,3100.74,4,4,4,444,Champions
14493,7,14,4993.76,4,4,4,444,Champions
15123,7,5,4656.17,4,3,4,434,Champions
15539,7,1,538.46,4,1,2,412,Recent Customers
18245,7,23,6236.23,4,4,4,444,Champions
13868,7,2,3192.54,4,2,4,424,Recent Customers
12536,7,5,4151.26,4,3,4,434,Champions
15078,7,64,17091.37,4,4,4,444,Champions
12970,7,10,1452.54,4,4,3,443,Champions
17086,7,6,2050.08,4,3,3,433,Champions
13780,7,3,732.07,4,2,2,422,Recent Customers
